"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"File created:
RuleName: -
UtcTime: 2025-12-25 19:31:23.088
ProcessGuid: {8bb50d47-910a-694d-4a03-000000000c00}
ProcessId: 10136
Image: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\Yomi\AppData\Local\Temp\__PSScriptPolicyTest_f4d550mi.eid.ps1
CreationUtcTime: 2025-12-25 19:31:23.088
User: WINDOWS11\Yomi","11","2",,"4","11","0","-9223372036854775808","2507","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:31:23 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-12-25 19:31:22.884
ProcessGuid: {8bb50d47-910a-694d-4a03-000000000c00}
ProcessId: 10136
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.26100.5074 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
CurrentDirectory: C:\Users\Yomi\
User: WINDOWS11\Yomi
LogonGuid: {8bb50d47-11ef-694d-9e18-020000000000}
LogonId: 0x2189E
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=A97E6573B97B44C96122BFA543A82EA1,SHA256=0FF6F2C94BC7E2833A5F7E16DE1622E5DBA70396F31C7D5F56381870317E8C46,IMPHASH=AFACF6DC9041114B198160AAB4D0AE77
ParentProcessGuid: {8bb50d47-900d-694d-3e03-000000000c00}
ParentProcessId: 2372
ParentImage: C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
ParentCommandLine: wt.exe 
ParentUser: WINDOWS11\Yomi","1","5",,"4","1","0","-9223372036854775808","2506","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:31:22 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-12-25 19:31:22.878
ProcessGuid: {8bb50d47-910a-694d-4903-000000000c00}
ProcessId: 9160
Image: C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\OpenConsole.exe
FileVersion: -
Description: -
Product: -
Company: -
OriginalFileName: -
CommandLine: ""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" --headless --resizeQuirk --width 120 --height 30 --signal 0xaf0 --server 0xae8
CurrentDirectory: C:\WINDOWS\system32\
User: WINDOWS11\Yomi
LogonGuid: {8bb50d47-11ef-694d-9e18-020000000000}
LogonId: 0x2189E
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=7B435AF317F6CA704B01C4654E9B913A,SHA256=550DEA7A75E6E38008DFDD9FA82A341A642F4AE73C8C3469387772653718F623,IMPHASH=33416571AABF686D008253127681E909
ParentProcessGuid: {8bb50d47-900d-694d-3e03-000000000c00}
ParentProcessId: 2372
ParentImage: C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
ParentCommandLine: wt.exe 
ParentUser: WINDOWS11\Yomi","1","5",,"4","1","0","-9223372036854775808","2505","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:31:22 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-12-25 19:31:10.867
ProcessGuid: {8bb50d47-90fe-694d-4803-000000000c00}
ProcessId: 8248
Image: C:\Users\Yomi\AppData\Local\Microsoft\OneDrive\25.087.0506.0001\FileCoAuth.exe
FileVersion: 25.087.0506.0001
Description: Microsoft OneDriveFile Co-Authoring Executable
Product: Microsoft OneDrive
Company: Microsoft Corporation
OriginalFileName: FileCoAuth.exe
CommandLine: ""C:\Users\Yomi\AppData\Local\Microsoft\OneDrive\25.087.0506.0001\FileCoAuth.exe"" -Embedding
CurrentDirectory: C:\WINDOWS\system32\
User: WINDOWS11\Yomi
LogonGuid: {8bb50d47-11ef-694d-0419-020000000000}
LogonId: 0x21904
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=096F81630597EBFEC37488931ABA5502,SHA256=96E5C5B5479A7615659125E3EA2A06DBA9084F4D78ECD475171D958419D8ABA0,IMPHASH=C8181D4E2935CC7C0663A0D3AC88976C
ParentProcessGuid: {8bb50d47-11db-694d-0f00-000000000c00}
ParentProcessId: 560
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
ParentUser: NT AUTHORITY\SYSTEM","1","5",,"4","1","0","-9223372036854775808","2504","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:31:10 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-12-25 19:31:10.780
ProcessGuid: {8bb50d47-90fe-694d-4703-000000000c00}
ProcessId: 3240
Image: C:\Windows\System32\rundll32.exe
FileVersion: 10.0.26100.5074 (WinBuild.160101.0800)
Description: Windows host process (Rundll32)
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: RUNDLL32.EXE
CommandLine: C:\WINDOWS\System32\rundll32.exe C:\WINDOWS\System32\shell32.dll,SHCreateLocalServerRunDll {9aa46009-3ce0-458a-a354-715610a075e6} -Embedding
CurrentDirectory: C:\WINDOWS\system32\
User: WINDOWS11\Yomi
LogonGuid: {8bb50d47-11ef-694d-0419-020000000000}
LogonId: 0x21904
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=2FAFAA93AA691553B5303616A6044A42,SHA256=2370D904F3C18A68638B3AAEDF17B2C68306E98A784EB1F21985C4E880FF1D2D,IMPHASH=C8B70D465C35D895C4171BAF042BB63A
ParentProcessGuid: {8bb50d47-11db-694d-0f00-000000000c00}
ParentProcessId: 560
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
ParentUser: NT AUTHORITY\SYSTEM","1","5",,"4","1","0","-9223372036854775808","2503","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:31:10 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-12-25 19:29:12.987
ProcessGuid: {8bb50d47-9088-694d-4303-000000000c00}
ProcessId: 9956
Image: C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
FileVersion: 1.3.215.9
Description: Microsoft Edge Update
Product: Microsoft Edge Update
Company: Microsoft Corporation
OriginalFileName: msedgeupdate.dll
CommandLine: ""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /ua /installsource scheduler
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {8bb50d47-11d7-694d-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=B299AA9A27C330A9B44E45BD1595DBEA,SHA256=955B5950FD92E5C5EEC395B022566C9A2594CA3126D894408E2E29BA25D8B0DD,IMPHASH=CD3B2D99C6655A5D4A14E30E380F5BF9
ParentProcessGuid: {8bb50d47-11e0-694d-1c00-000000000c00}
ParentProcessId: 1424
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule
ParentUser: NT AUTHORITY\SYSTEM","1","5",,"4","1","0","-9223372036854775808","2502","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:29:12 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-12-25 19:27:17.795
ProcessGuid: {8bb50d47-9015-694d-4203-000000000c00}
ProcessId: 8612
Image: C:\Windows\System32\svchost.exe
FileVersion: 10.0.26100.5074 (WinBuild.160101.0800)
Description: Host Process for Windows Services
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: svchost.exe
CommandLine: C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p -s InventorySvc
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {8bb50d47-11d7-694d-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=7B88D0896FBF43469A9959D59824A514,SHA256=53A39B900E3BFBF384ACD13F0FC2329FA8D42B61E993D8ED5ADF3A1428005D26,IMPHASH=DE43BD45CC98C143357416C7519ECCFD
ParentProcessGuid: {8bb50d47-11d4-694d-0b00-000000000c00}
ParentProcessId: 856
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\WINDOWS\system32\services.exe
ParentUser: NT AUTHORITY\SYSTEM","1","5",,"4","1","0","-9223372036854775808","2501","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:27:17 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"File created:
RuleName: -
UtcTime: 2025-12-25 19:27:12.668
ProcessGuid: {8bb50d47-900f-694d-4003-000000000c00}
ProcessId: 2044
Image: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\Yomi\AppData\Local\Temp\__PSScriptPolicyTest_razdyju0.0hc.ps1
CreationUtcTime: 2025-12-25 19:27:12.668
User: WINDOWS11\Yomi","11","2",,"4","11","0","-9223372036854775808","2500","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:27:12 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-12-25 19:27:11.212
ProcessGuid: {8bb50d47-900f-694d-4003-000000000c00}
ProcessId: 2044
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.26100.5074 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
CurrentDirectory: C:\Users\Yomi\
User: WINDOWS11\Yomi
LogonGuid: {8bb50d47-11ef-694d-9e18-020000000000}
LogonId: 0x2189E
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=A97E6573B97B44C96122BFA543A82EA1,SHA256=0FF6F2C94BC7E2833A5F7E16DE1622E5DBA70396F31C7D5F56381870317E8C46,IMPHASH=AFACF6DC9041114B198160AAB4D0AE77
ParentProcessGuid: {8bb50d47-900d-694d-3e03-000000000c00}
ParentProcessId: 2372
ParentImage: C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
ParentCommandLine: wt.exe 
ParentUser: WINDOWS11\Yomi","1","5",,"4","1","0","-9223372036854775808","2499","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:27:11 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: -
UtcTime: 2025-12-25 19:27:11.194
ProcessGuid: {8bb50d47-900f-694d-3f03-000000000c00}
ProcessId: 4028
Image: C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\OpenConsole.exe
FileVersion: -
Description: -
Product: -
Company: -
OriginalFileName: -
CommandLine: ""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" --headless --resizeQuirk --width 120 --height 30 --signal 0x98c --server 0x984
CurrentDirectory: C:\WINDOWS\system32\
User: WINDOWS11\Yomi
LogonGuid: {8bb50d47-11ef-694d-9e18-020000000000}
LogonId: 0x2189E
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=7B435AF317F6CA704B01C4654E9B913A,SHA256=550DEA7A75E6E38008DFDD9FA82A341A642F4AE73C8C3469387772653718F623,IMPHASH=33416571AABF686D008253127681E909
ParentProcessGuid: {8bb50d47-900d-694d-3e03-000000000c00}
ParentProcessId: 2372
ParentImage: C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
ParentCommandLine: wt.exe 
ParentUser: WINDOWS11\Yomi","1","5",,"4","1","0","-9223372036854775808","2498","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3580","4288","Windows11","S-1-5-18","12/25/2025 8:27:11 PM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","File created (rule: FileCreate)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
